"gene","n_subtypes","subtypes_list","mean_lfc"
"APOF",1,"Her2",-1.34823297026701
"DMRT3",1,"Basal",-1.34785570705593
"PTHLH",1,"Normal",-1.34588771908216
"VWCE",1,"Basal",-1.34575951214374
"PDZD4",1,"Basal",-1.34492124827361
"RYR1",1,"Basal",-1.344003017541
"EDN2",1,"Basal",-1.34313477048512
"PICART1",1,"Her2",-1.34214112690004
"HOXD3",1,"Basal",-1.34207760303921
"ST8SIA6",1,"LumB",-1.34198330442366
"SCARF2",1,"Basal",-1.34083695042149
"ACTN2",1,"Her2",-1.34022282069816
"CEROX1",1,"Normal",-1.33938088171504
"MISP3",1,"Basal",-1.33931274934384
"SPON2",1,"Basal",-1.33790506551773
"SERPINB2",1,"LumA",-1.33675217486065
"ALOX15B",1,"Normal",-1.33557553909902
"PRH1",1,"Basal",-1.33537512980543
"PRR4",1,"Basal",-1.33537512980543
"GATA3-AS1",1,"Basal",-1.33493472910122
"FHIP1A-DT",1,"Her2",-1.33385727702814
"RADIL",1,"Basal",-1.33344417518362
"AQP5",1,"Basal",-1.33311696008463
"ATP1A1-AS1",1,"Basal",-1.33234958633759
"DACT2",1,"Normal",-1.33213487852262
"KCTD14",1,"Normal",-1.33203472674666
"PCDHB12",1,"Basal",-1.33137196295211
"SLC7A4",1,"Basal",-1.33049248240527
"LIPH",1,"Her2",-1.33007182163592
"POU2AF3",1,"Basal",-1.33001235787745
"LHX2",1,"Basal",-1.32998093229354
"RGS5",1,"Basal",-1.32848127184981
"RIMS1",1,"Basal",-1.32580186237003
"ADAM11",1,"Basal",-1.32579247906038
"RGS22",1,"LumA",-1.32572425332022
"ELAPOR1",1,"Basal",-1.32372444986873
"ADRA1B",1,"Basal",-1.32350183842208
"DCDC1",1,"LumB",-1.32304975173875
"DRAXIN",1,"Basal",-1.32207263056465
"TMEM64",1,"LumA",-1.32190055475158
"DNER",1,"Basal",-1.31914479672623
"SOX8",1,"Normal",-1.31855429525393
"LINC02802",1,"Basal",-1.31849581322256
"LOC107985200",1,"Basal",-1.31849581322256
"ENTREP2",1,"Her2",-1.31819629687092
"HOXC13",1,"Basal",-1.31697744620229
"HSPB7",1,"Basal",-1.3158798591771
"FAM3B",1,"Basal",-1.31513812312654
"NREP",1,"Basal",-1.31413803974862
"CLIC6",1,"LumA",-1.31268658321123
"FAM180A",1,"Basal",-1.3122952484074
"PELI2",1,"Basal",-1.31181786582053
"TTYH1",1,"Basal",-1.3117883530698
"FAM131B",1,"LumB",-1.31118994007804
"RAB9B",1,"Basal",-1.30820007502312
"GLIS2-AS1",1,"Basal",-1.30577530310598
"HOXC13-AS",1,"Basal",-1.30469860362883
"INHA",1,"LumA",-1.30437817672176
"C2CD4C",1,"Basal",-1.30368360369964
"LRRC4C",1,"Basal",-1.30302093436978
"ADAMTS3",1,"Basal",-1.30220251717336
"ECRG4",1,"Normal",-1.30219762078688
"DMP1-AS1",1,"LumA",-1.3014345813466
"CRISPLD1",1,"Basal",-1.30067345904012
"KLF17P2",1,"LumB",-1.29823234992163
"CFAP144",1,"Normal",-1.29532282094806
"PHLDA1",1,"LumB",-1.29493256977352
"COL17A1",1,"Normal",-1.2927561966762
"LAMC2",1,"Her2",-1.29205625903513
"KRT83",1,"Basal",-1.29093065860233
"FARS2-AS1",1,"Her2",-1.29032536963722
"EFNA3",1,"Basal",-1.29023969474834
"GLRB",1,"LumB",-1.28997933776397
"PLPP4",1,"Basal",-1.28983367705553
"LINC01614",1,"Basal",-1.28970514748119
